date,team,rank,points,source,retrieved_at
2024-04-04,Cook Islands,187,,snapshot:fifa_2024-04-04.csv,2026-06-22T22:06:16.864343+00:00
2026-06-11,Cook Islands,186,877.53,snapshot:fifa_2026-06-11.csv,2026-06-22T22:06:16.926026+00:00
2016-06-02,Costa Rica,23,853.0,snapshot:fifa_2016-06-02.csv,2026-06-22T22:06:16.782449+00:00
2018-05-17,Costa Rica,25,,snapshot:fifa_2018-05-17.csv,2026-06-22T22:06:16.800256+00:00
2024-04-04,Costa Rica,52,,snapshot:fifa_2024-04-04.csv,2026-06-22T22:06:16.864343+00:00
2026-06-11,Costa Rica,53,1456.03,snapshot:fifa_2026-06-11.csv,2026-06-22T22:06:16.926026+00:00
2010-05-26,Croatia,10,1041.0,snapshot:fifa_2010-05-26.csv,2026-06-22T22:06:16.733133+00:00
2014-05-08,Croatia,20,871.0,snapshot:fifa_2014-05-08.csv,2026-06-22T22:06:16.766522+00:00
2016-06-02,Croatia,27,842.0,snapshot:fifa_2016-06-02.csv,2026-06-22T22:06:16.782449+00:00
2018-05-17,Croatia,18,,snapshot:fifa_2018-05-17.csv,2026-06-22T22:06:16.800256+00:00
2019-07-25,Croatia,7,1625.0,snapshot:fifa_2019-07-25.csv,2026-06-22T22:06:16.830433+00:00
2022-10-06,Croatia,12,1645.64,snapshot:fifa_2022-10-06.csv,2026-06-22T22:06:16.846448+00:00
2024-04-04,Croatia,10,,snapshot:fifa_2024-04-04.csv,2026-06-22T22:06:16.864343+00:00
2026-06-11,Croatia,11,1714.87,snapshot:fifa_2026-06-11.csv,2026-06-22T22:06:16.926026+00:00
2018-05-17,Cuba,182,,snapshot:fifa_2018-05-17.csv,2026-06-22T22:06:16.800256+00:00
2024-04-04,Cuba,169,,snapshot:fifa_2024-04-04.csv,2026-06-22T22:06:16.864343+00:00
2026-06-11,Cuba,164,981.42,snapshot:fifa_2026-06-11.csv,2026-06-22T22:06:16.926026+00:00
2018-05-17,Curacao (formerly Netherlands Antilles),71,,snapshot:fifa_2018-05-17.csv,2026-06-22T22:06:16.800256+00:00
2024-04-04,Curacao (formerly Netherlands Antilles),91,,snapshot:fifa_2024-04-04.csv,2026-06-22T22:06:16.864343+00:00
2026-06-11,Curaçao,82,1294.77,snapshot:fifa_2026-06-11.csv,2026-06-22T22:06:16.926026+00:00
2018-05-17,Cyprus,86,,snapshot:fifa_2018-05-17.csv,2026-06-22T22:06:16.800256+00:00
2024-04-04,Cyprus,124,,snapshot:fifa_2024-04-04.csv,2026-06-22T22:06:16.864343+00:00
2026-06-11,Cyprus,124,1133.25,snapshot:fifa_2026-06-11.csv,2026-06-22T22:06:16.926026+00:00
2016-06-02,Czechia,30,815.0,snapshot:fifa_2016-06-02.csv,2026-06-22T22:06:16.782449+00:00
2018-05-17,Czechia,45,,snapshot:fifa_2018-05-17.csv,2026-06-22T22:06:16.800256+00:00
2024-04-04,Czechia,36,,snapshot:fifa_2024-04-04.csv,2026-06-22T22:06:16.864343+00:00
2026-06-11,Czechia,40,1505.74,snapshot:fifa_2026-06-11.csv,2026-06-22T22:06:16.926026+00:00
2018-05-17,DR Congo,38,,snapshot:fifa_2018-05-17.csv,2026-06-22T22:06:16.800256+00:00
2024-04-04,DR Congo,63,,snapshot:fifa_2024-04-04.csv,2026-06-22T22:06:16.864343+00:00
2026-06-11,DR Congo,46,1474.43,snapshot:fifa_2026-06-11.csv,2026-06-22T22:06:16.926026+00:00
2014-05-08,Denmark,23,819.0,snapshot:fifa_2014-05-08.csv,2026-06-22T22:06:16.766522+00:00
