fixture_id,date,kickoff_time,status,minute,home_team,away_team,venue,stage,group,source,updated_at
1489406,2026-06-24,2026-06-24T22:00:00+00:00,Not Started,,Scotland,Brazil,Hard Rock Stadium,Group Stage - 3,Group Stage - 3,api_football:/fixtures,2026-06-24T00:37:30+00:00
1539010,2026-06-25,2026-06-25T01:00:00+00:00,Not Started,,Czechia,Mexico,Estadio Azteca,Group Stage - 3,Group Stage - 3,api_football:/fixtures,2026-06-24T00:37:30+00:00
1489407,2026-06-25,2026-06-25T01:00:00+00:00,Not Started,,South Africa,South Korea,Estadio BBVA,Group Stage - 3,Group Stage - 3,api_football:/fixtures,2026-06-24T00:37:30+00:00
1489410,2026-06-25,2026-06-25T20:00:00+00:00,Not Started,,Ecuador,Germany,MetLife Stadium,Group Stage - 3,Group Stage - 3,api_football:/fixtures,2026-06-24T00:37:30+00:00
1489409,2026-06-25,2026-06-25T20:00:00+00:00,Not Started,,Curacao,Ivory Coast,Lincoln Financial Field,Group Stage - 3,Group Stage - 3,api_football:/fixtures,2026-06-24T00:37:30+00:00
1539011,2026-06-25,2026-06-25T23:00:00+00:00,Not Started,,Japan,Sweden,AT&T Stadium,Group Stage - 3,Group Stage - 3,api_football:/fixtures,2026-06-24T00:37:30+00:00
1489412,2026-06-25,2026-06-25T23:00:00+00:00,Not Started,,Tunisia,Netherlands,Arrowhead Stadium,Group Stage - 3,Group Stage - 3,api_football:/fixtures,2026-06-24T00:37:30+00:00
1539012,2026-06-26,2026-06-26T02:00:00+00:00,Not Started,,Turkey,United States,SoFi Stadium,Group Stage - 3,Group Stage - 3,api_football:/fixtures,2026-06-24T00:37:30+00:00
1489411,2026-06-26,2026-06-26T02:00:00+00:00,Not Started,,Paraguay,Australia,Levi's Stadium,Group Stage - 3,Group Stage - 3,api_football:/fixtures,2026-06-24T00:37:30+00:00
1539074,2026-06-26,2026-06-26T19:00:00+00:00,Not Started,,Senegal,Iraq,BMO Field,Group Stage - 3,Group Stage - 3,api_football:/fixtures,2026-06-24T00:37:30+00:00
1489416,2026-06-26,2026-06-26T19:00:00+00:00,Not Started,,Norway,France,Gillette Stadium,Group Stage - 3,Group Stage - 3,api_football:/fixtures,2026-06-24T00:37:30+00:00
1489417,2026-06-27,2026-06-27T00:00:00+00:00,Not Started,,Uruguay,Spain,Estadio Akron,Group Stage - 3,Group Stage - 3,api_football:/fixtures,2026-06-24T00:37:30+00:00
1489413,2026-06-27,2026-06-27T00:00:00+00:00,Not Started,,Cape Verde,Saudi Arabia,NRG Stadium,Group Stage - 3,Group Stage - 3,api_football:/fixtures,2026-06-24T00:37:30+00:00
1489414,2026-06-27,2026-06-27T03:00:00+00:00,Not Started,,Egypt,Iran,Lumen Field,Group Stage - 3,Group Stage - 3,api_football:/fixtures,2026-06-24T00:37:30+00:00
1489415,2026-06-27,2026-06-27T03:00:00+00:00,Not Started,,New Zealand,Belgium,BC Place,Group Stage - 3,Group Stage - 3,api_football:/fixtures,2026-06-24T00:37:30+00:00
1489420,2026-06-27,2026-06-27T21:00:00+00:00,Not Started,,Croatia,Ghana,Lincoln Financial Field,Group Stage - 3,Group Stage - 3,api_football:/fixtures,2026-06-24T00:37:30+00:00
1489422,2026-06-27,2026-06-27T21:00:00+00:00,Not Started,,Panama,England,MetLife Stadium,Group Stage - 3,Group Stage - 3,api_football:/fixtures,2026-06-24T00:37:30+00:00
1489419,2026-06-27,2026-06-27T23:30:00+00:00,Not Started,,Colombia,Portugal,Hard Rock Stadium,Group Stage - 3,Group Stage - 3,api_football:/fixtures,2026-06-24T00:37:30+00:00
1539013,2026-06-27,2026-06-27T23:30:00+00:00,Not Started,,DR Congo,Uzbekistan,Mercedes-Benz Stadium,Group Stage - 3,Group Stage - 3,api_football:/fixtures,2026-06-24T00:37:30+00:00
1489418,2026-06-28,2026-06-28T02:00:00+00:00,Not Started,,Algeria,Austria,Arrowhead Stadium,Group Stage - 3,Group Stage - 3,api_football:/fixtures,2026-06-24T00:37:30+00:00
1489421,2026-06-28,2026-06-28T02:00:00+00:00,Not Started,,Jordan,Argentina,AT&T Stadium,Group Stage - 3,Group Stage - 3,api_football:/fixtures,2026-06-24T00:37:30+00:00
