simulation_id,stage,match_slot,team_a,team_b,winner,loser
4,round_of_16,96,Colombia,Belgium,Belgium,Colombia
4,quarterfinal,97,Czechia,Germany,Germany,Czechia
4,quarterfinal,98,Uruguay,England,England,Uruguay
4,quarterfinal,99,Norway,Mexico,Mexico,Norway
4,quarterfinal,100,Spain,Belgium,Spain,Belgium
4,semifinal,101,Germany,England,Germany,England
4,semifinal,102,Mexico,Spain,Mexico,Spain
4,final,104,Germany,Mexico,Germany,Mexico
4,third_place,103,England,Spain,England,Spain
5,round_of_32,73,South Korea,Canada,Canada,South Korea
5,round_of_32,74,Germany,Czechia,Czechia,Germany
5,round_of_32,75,Brazil,Netherlands,Brazil,Netherlands
5,round_of_32,76,Japan,Morocco,Morocco,Japan
5,round_of_32,77,Norway,Paraguay,Norway,Paraguay
5,round_of_32,78,Mexico,Ecuador,Ecuador,Mexico
5,round_of_32,79,Ivory Coast,Senegal,Ivory Coast,Senegal
5,round_of_32,80,United States,Sweden,Sweden,United States
5,round_of_32,81,Egypt,France,Egypt,France
5,round_of_32,82,England,Jordan,England,Jordan
5,round_of_32,83,Portugal,Panama,Panama,Portugal
5,round_of_32,84,Switzerland,Iran,Switzerland,Iran
5,round_of_32,85,Spain,Austria,Spain,Austria
5,round_of_32,86,Colombia,Ghana,Colombia,Ghana
5,round_of_32,87,Argentina,Cape Verde,Argentina,Cape Verde
5,round_of_32,88,Australia,Belgium,Belgium,Australia
5,round_of_16,89,Canada,Brazil,Brazil,Canada
5,round_of_16,90,Czechia,Norway,Czechia,Norway
5,round_of_16,91,Ivory Coast,Sweden,Ivory Coast,Sweden
5,round_of_16,92,Morocco,Ecuador,Ecuador,Morocco
5,round_of_16,93,Egypt,England,England,Egypt
5,round_of_16,94,Panama,Switzerland,Switzerland,Panama
5,round_of_16,95,Spain,Argentina,Spain,Argentina
5,round_of_16,96,Colombia,Belgium,Colombia,Belgium
5,quarterfinal,97,Brazil,Czechia,Brazil,Czechia
5,quarterfinal,98,England,Switzerland,Switzerland,England
5,quarterfinal,99,Ivory Coast,Ecuador,Ecuador,Ivory Coast
5,quarterfinal,100,Spain,Colombia,Colombia,Spain
5,semifinal,101,Brazil,Switzerland,Brazil,Switzerland
5,semifinal,102,Ecuador,Colombia,Ecuador,Colombia
5,final,104,Brazil,Ecuador,Ecuador,Brazil
5,third_place,103,Switzerland,Colombia,Colombia,Switzerland
6,round_of_32,73,South Korea,Switzerland,Switzerland,South Korea
6,round_of_32,74,Germany,Qatar,Germany,Qatar
6,round_of_32,75,Morocco,Netherlands,Morocco,Netherlands
6,round_of_32,76,Japan,Scotland,Japan,Scotland
6,round_of_32,77,France,Brazil,Brazil,France
6,round_of_32,78,Mexico,Ivory Coast,Mexico,Ivory Coast
6,round_of_32,79,Ecuador,Norway,Ecuador,Norway
6,round_of_32,80,United States,Sweden,United States,Sweden
6,round_of_32,81,Iran,Senegal,Senegal,Iran
6,round_of_32,82,England,Argentina,England,Argentina
6,round_of_32,83,Portugal,Croatia,Portugal,Croatia
6,round_of_32,84,Canada,Belgium,Belgium,Canada
6,round_of_32,85,Spain,Austria,Spain,Austria
6,round_of_32,86,Colombia,Australia,Australia,Colombia
6,round_of_32,87,Algeria,Cape Verde,Algeria,Cape Verde
6,round_of_32,88,Paraguay,Egypt,Egypt,Paraguay
6,round_of_16,89,Switzerland,Morocco,Switzerland,Morocco
6,round_of_16,90,Germany,Brazil,Germany,Brazil
6,round_of_16,91,Ecuador,United States,Ecuador,United States
6,round_of_16,92,Japan,Mexico,Mexico,Japan
6,round_of_16,93,Senegal,England,England,Senegal
6,round_of_16,94,Portugal,Belgium,Belgium,Portugal
6,round_of_16,95,Spain,Algeria,Spain,Algeria
6,round_of_16,96,Australia,Egypt,Australia,Egypt
6,quarterfinal,97,Switzerland,Germany,Germany,Switzerland
6,quarterfinal,98,England,Belgium,Belgium,England
6,quarterfinal,99,Ecuador,Mexico,Mexico,Ecuador
6,quarterfinal,100,Spain,Australia,Spain,Australia
6,semifinal,101,Germany,Belgium,Belgium,Germany
6,semifinal,102,Mexico,Spain,Spain,Mexico
6,final,104,Belgium,Spain,Spain,Belgium
6,third_place,103,Germany,Mexico,Germany,Mexico
7,round_of_32,73,South Korea,Switzerland,Switzerland,South Korea
7,round_of_32,74,Germany,Bosnia and Herzegovina,Germany,Bosnia and Herzegovina
7,round_of_32,75,Morocco,Sweden,Morocco,Sweden
7,round_of_32,76,Netherlands,Scotland,Scotland,Netherlands
7,round_of_32,77,Norway,Brazil,Brazil,Norway
7,round_of_32,78,Mexico,Japan,Japan,Mexico
7,round_of_32,79,Curaçao,France,France,Curaçao
7,round_of_32,80,United States,Senegal,United States,Senegal
7,round_of_32,81,Egypt,Algeria,Egypt,Algeria
7,round_of_32,82,England,Uzbekistan,England,Uzbekistan
7,round_of_32,83,Colombia,Ghana,Colombia,Ghana
7,round_of_32,84,Canada,Iran,Iran,Canada
7,round_of_32,85,Spain,Austria,Spain,Austria
7,round_of_32,86,DR Congo,Panama,Panama,DR Congo
7,round_of_32,87,Argentina,Cape Verde,Argentina,Cape Verde
7,round_of_32,88,Australia,Belgium,Belgium,Australia
7,round_of_16,89,Switzerland,Morocco,Morocco,Switzerland
7,round_of_16,90,Germany,Brazil,Brazil,Germany
7,round_of_16,91,France,United States,France,United States
7,round_of_16,92,Scotland,Japan,Scotland,Japan
7,round_of_16,93,Egypt,England,England,Egypt
7,round_of_16,94,Colombia,Iran,Iran,Colombia
7,round_of_16,95,Spain,Argentina,Spain,Argentina
7,round_of_16,96,Panama,Belgium,Panama,Belgium
7,quarterfinal,97,Morocco,Brazil,Morocco,Brazil
7,quarterfinal,98,England,Iran,England,Iran
7,quarterfinal,99,France,Scotland,France,Scotland
7,quarterfinal,100,Spain,Panama,Spain,Panama
7,semifinal,101,Morocco,England,England,Morocco
7,semifinal,102,France,Spain,France,Spain
