model_name,test_year,parameter,value,tuning_source_years,tuning_log_loss,selected_value,selected,notes,bucket_n,bucket_mean_confidence,bucket_empirical_accuracy
official_model_draw_calibrated,2018,draw_multiplier,1.05,2014,1.3884295293780844,1.8,False,draw-specific log loss selected using prior tournament draw rows only,,,
official_model_draw_calibrated,2018,draw_multiplier,1.1,2014,1.3541424344770177,1.8,False,draw-specific log loss selected using prior tournament draw rows only,,,
official_model_draw_calibrated,2018,draw_multiplier,1.15,2014,1.321765994720558,1.8,False,draw-specific log loss selected using prior tournament draw rows only,,,
official_model_draw_calibrated,2018,draw_multiplier,1.2,2014,1.2911283352065794,1.8,False,draw-specific log loss selected using prior tournament draw rows only,,,
official_model_draw_calibrated,2018,draw_multiplier,1.25,2014,1.2620789821540348,1.8,False,draw-specific log loss selected using prior tournament draw rows only,,,
official_model_draw_calibrated,2018,draw_multiplier,1.3,2014,1.2344854858847516,1.8,False,draw-specific log loss selected using prior tournament draw rows only,,,
official_model_draw_calibrated,2018,draw_multiplier,1.35,2014,1.2082306826450422,1.8,False,draw-specific log loss selected using prior tournament draw rows only,,,
official_model_draw_calibrated,2018,draw_multiplier,1.4,2014,1.1832104556687948,1.8,False,draw-specific log loss selected using prior tournament draw rows only,,,
official_model_draw_calibrated,2018,draw_multiplier,1.45,2014,1.1593318902122578,1.8,False,draw-specific log loss selected using prior tournament draw rows only,,,
official_model_draw_calibrated,2018,draw_multiplier,1.5,2014,1.136511742299482,1.8,False,draw-specific log loss selected using prior tournament draw rows only,,,
official_model_draw_calibrated,2018,draw_multiplier,1.55,2014,1.1146751593595265,1.8,False,draw-specific log loss selected using prior tournament draw rows only,,,
official_model_draw_calibrated,2018,draw_multiplier,1.6,2014,1.0937546046901523,1.8,False,draw-specific log loss selected using prior tournament draw rows only,,,
official_model_draw_calibrated,2018,draw_multiplier,1.65,2014,1.0736889480475034,1.8,False,draw-specific log loss selected using prior tournament draw rows only,,,
official_model_draw_calibrated,2018,draw_multiplier,1.7,2014,1.05442269254848,1.8,False,draw-specific log loss selected using prior tournament draw rows only,,,
official_model_draw_calibrated,2018,draw_multiplier,1.75,2014,1.0359053141290524,1.8,False,draw-specific log loss selected using prior tournament draw rows only,,,
official_model_draw_calibrated,2018,draw_multiplier,1.8,2014,1.0180906944921682,1.8,True,draw-specific log loss selected using prior tournament draw rows only,,,
official_model_confidence_calibrated,2018,confidence_gamma:0.00-0.40,1.0,2014,,1.0,True,identity: insufficient rows/classes in bucket,,,
official_model_confidence_calibrated,2018,confidence_gamma:0.40-0.50,0.55,2014,1.0830799854290556,0.6000000000000001,False,bucket gamma selected using prior tournament rows only,28.0,0.4533292091780461,0.39285714285714285
official_model_confidence_calibrated,2018,confidence_gamma:0.40-0.50,0.6000000000000001,2014,1.083061769199895,0.6000000000000001,True,bucket gamma selected using prior tournament rows only,28.0,0.4533292091780461,0.39285714285714285
official_model_confidence_calibrated,2018,confidence_gamma:0.40-0.50,0.65,2014,1.0832694301871448,0.6000000000000001,False,bucket gamma selected using prior tournament rows only,28.0,0.4533292091780461,0.39285714285714285
official_model_confidence_calibrated,2018,confidence_gamma:0.40-0.50,0.7000000000000001,2014,1.0837012304256748,0.6000000000000001,False,bucket gamma selected using prior tournament rows only,28.0,0.4533292091780461,0.39285714285714285
official_model_confidence_calibrated,2018,confidence_gamma:0.40-0.50,0.75,2014,1.0843553724067696,0.6000000000000001,False,bucket gamma selected using prior tournament rows only,28.0,0.4533292091780461,0.39285714285714285
